number,title,slug,url,difficulty,tags,submission_id,submitted_at,language,runtime,memory,code_path,leetcode_notes,raw_comments,thought_process,notes,core_insight,pattern,mistakes,edge_cases,time_complexity,space_complexity,review_state,next_review,last_review,stability,fsrs_difficulty,retrievability,reps,lapses
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,"Array, Dynamic Programming",1803169287,2025-10-16T08:01:36+00:00,python3,59 ms,26.9 MB,121-best-time-to-buy-and-sell-stock.py,,,,,,,,,,,new,,,,,,0,0
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,"Array, Dynamic Programming",1833454857,2025-11-18T17:39:26+00:00,python3,105 ms,27 MB,121-best-time-to-buy-and-sell-stock.py,,,,,,,,,,,new,,,,,,0,0
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,"Array, Dynamic Programming, Greedy",1803176734,2025-10-16T08:14:08+00:00,python3,0 ms,18.7 MB,122-best-time-to-buy-and-sell-stock-ii.py,,greedy approach,,,,,,,,,new,,,,,,0,0
125,Valid Palindrome,valid-palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,"Two Pointers, String",2098000912,2026-08-07T13:41:24+00:00,python3,11 ms,23.3 MB,125-valid-palindrome.py,,,,,,,,,,,new,,,,,,0,0
125,Valid Palindrome,valid-palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,"Two Pointers, String",2098001611,2026-08-07T13:42:03+00:00,python3,15 ms,23.5 MB,125-valid-palindrome.py,,O(n) time complexity because we go through the entire string,,,,,,,,,new,,,,,,0,0
128,Longest Consecutive Sequence,longest-consecutive-sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,"Array, Hash Table, Union-Find",2084628375,2026-07-28T10:41:38+00:00,python3,43 ms,36.4 MB,128-longest-consecutive-sequence.py,,,,,,,,,,,new,,,,,,0,0
131,Palindrome Partitioning,palindrome-partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,"String, Dynamic Programming, Backtracking",2087623425,2026-07-30T14:33:10+00:00,python3,35 ms,34.4 MB,131-palindrome-partitioning.py,,"check if string is palindrome
if every character has been partitioned",,,,,,,,,new,,,,,,0,0
133,Clone Graph,clone-graph,https://leetcode.com/problems/clone-graph/,Medium,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory",1873652534,2026-01-04T00:26:48+00:00,python3,44 ms,17.7 MB,133-clone-graph.py,,"
# Definition for a Node.
class Node:
    def __init__(self, val = 0, neighbors = None):
        self.val = val
        self.neighbors = neighbors if neighbors is not None else []
",,,,,,,,,new,,,,,,0,0
133,Clone Graph,clone-graph,https://leetcode.com/problems/clone-graph/,Medium,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory",2089533320,2026-08-01T05:55:54+00:00,python3,55 ms,19.7 MB,133-clone-graph.py,,"
# Definition for a Node.
class Node:
    def __init__(self, val = 0, neighbors = None):
        self.val = val
        self.neighbors = neighbors if neighbors is not None else []
",,,,,,,,,new,,,,,,0,0
138,Copy List with Random Pointer,copy-list-with-random-pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,"Hash Table, Linked List",1839178566,2025-11-25T06:57:42+00:00,python3,40 ms,18.4 MB,138-copy-list-with-random-pointer.py,[ Time taken: 8 hrs 52 m 28 s ],"
# Definition for a Node.
class Node:
    def __init__(self, x: int, next: 'Node' = None, random: 'Node' = None):
        self.val = int(x)
        self.next = next
        self.random = random
",,,,,,,,,new,,,,,,0,0
138,Copy List with Random Pointer,copy-list-with-random-pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,"Hash Table, Linked List",1839178912,2025-11-25T06:58:13+00:00,python3,33 ms,18.6 MB,138-copy-list-with-random-pointer.py,,"
# Definition for a Node.
class Node:
    def __init__(self, x: int, next: 'Node' = None, random: 'Node' = None):
        self.val = int(x)
        self.next = next
        self.random = random
",,,,,,,,,new,,,,,,0,0
139,Word Break,word-break,https://leetcode.com/problems/word-break/,Medium,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search",1870587791,2025-12-31T22:39:24+00:00,python3,3 ms,17.4 MB,139-word-break.py,,,,,,,,,,,new,,,,,,0,0
141,Linked List Cycle,linked-list-cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,"Hash Table, Linked List, Two Pointers, Floyd's Cycle Finding Algorithm",1873762068,2026-01-04T04:13:27+00:00,python3,48 ms,19.3 MB,141-linked-list-cycle.py,,"Definition for singly-linked list.
class ListNode:
    def __init__(self, x):
        self.val = x
        self.next = None",,,,,,,,,new,,,,,,0,0
146,LRU Cache,lru-cache,https://leetcode.com/problems/lru-cache/,Medium,"Hash Table, Linked List, Design, Doubly-Linked List",1873955434,2026-01-04T07:47:41+00:00,python3,109 ms,77.3 MB,146-lru-cache.py,,"Your LRUCache object will be instantiated and called as such:
obj = LRUCache(capacity)
param_1 = obj.get(key)
obj.put(key,value)",,,,,,,,,new,,,,,,0,0
146,LRU Cache,lru-cache,https://leetcode.com/problems/lru-cache/,Medium,"Hash Table, Linked List, Design, Doubly-Linked List",1873965351,2026-01-04T07:59:21+00:00,python3,128 ms,77.2 MB,146-lru-cache.py,,"Your LRUCache object will be instantiated and called as such:
obj = LRUCache(capacity)
param_1 = obj.get(key)
obj.put(key,value)",,,,,,,,,new,,,,,,0,0
146,LRU Cache,lru-cache,https://leetcode.com/problems/lru-cache/,Medium,"Hash Table, Linked List, Design, Doubly-Linked List",1873979015,2026-01-04T08:16:07+00:00,python3,149 ms,77.8 MB,146-lru-cache.py,,"Your LRUCache object will be instantiated and called as such:
obj = LRUCache(capacity)
param_1 = obj.get(key)
obj.put(key,value)",,,,,,,,,new,,,,,,0,0
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,"Array, Math, Stack",1877093322,2026-01-07T03:15:43+00:00,python3,1 ms,20.7 MB,150-evaluate-reverse-polish-notation.py,,,,,,,,,,,new,,,,,,0,0
151,Reverse Words in a String,reverse-words-in-a-string,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,"Two Pointers, String",1809098452,2025-10-23T04:32:39+00:00,python3,0 ms,17.8 MB,151-reverse-words-in-a-string.py,,,,,,,,,,,new,,,,,,0,0
155,Min Stack,min-stack,https://leetcode.com/problems/min-stack/,Medium,"Stack, Design",1878540931,2026-01-08T09:12:05+00:00,python3,15 ms,23.1 MB,155-min-stack.py,,"Your MinStack object will be instantiated and called as such:
obj = MinStack()
obj.push(val)
obj.pop()
param_3 = obj.top()
param_4 = obj.getMin()",,,,,,,,,new,,,,,,0,0
169,Majority Element,majority-element,https://leetcode.com/problems/majority-element/,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm",1802186661,2025-10-15T07:25:50+00:00,python3,6 ms,19.4 MB,169-majority-element.py,,,,,,,,,,,new,,,,,,0,0
169,Majority Element,majority-element,https://leetcode.com/problems/majority-element/,Easy,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm",1802188242,2025-10-15T07:28:18+00:00,python3,7 ms,19.4 MB,169-majority-element.py,,,,,,,,,,,new,,,,,,0,0
189,Rotate Array,rotate-array,https://leetcode.com/problems/rotate-array/,Medium,"Array, Math, Two Pointers",1803165533,2025-10-16T07:55:06+00:00,python3,0 ms,25.7 MB,189-rotate-array.py,,"
        Do not return anything, modify nums in-place instead.
        ",,,,,,,,,new,,,,,,0,0
189,Rotate Array,rotate-array,https://leetcode.com/problems/rotate-array/,Medium,"Array, Math, Two Pointers",1803169584,2025-10-16T08:02:07+00:00,python3,0 ms,25.9 MB,189-rotate-array.py,,"
        Do not return anything, modify nums in-place instead.
        ",,,,,,,,,new,,,,,,0,0
199,Binary Tree Right Side View,binary-tree-right-side-view,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",2073490529,2026-07-19T13:15:30+00:00,python3,0 ms,19.4 MB,199-binary-tree-right-side-view.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right
wtf is this problem 
basically if there is another node on the same level you dont return the left one
if it is the first time we've reached this depth, append res because it is has to be the rightmost value
dfs right then left ",,,,,,,,,new,,,,,,0,0
200,Number of Islands,number-of-islands,https://leetcode.com/problems/number-of-islands/,Medium,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",1833901003,2025-11-19T05:36:51+00:00,python3,245 ms,20.3 MB,200-number-of-islands.py,,sink our current island to keep track ,,,,,,,,,new,,,,,,0,0
200,Number of Islands,number-of-islands,https://leetcode.com/problems/number-of-islands/,Medium,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix",2089517313,2026-08-01T05:41:49+00:00,python3,238 ms,21.7 MB,200-number-of-islands.py,,set nodes as visited,,,,,,,,,new,,,,,,0,0
206,Reverse Linked List,reverse-linked-list,https://leetcode.com/problems/reverse-linked-list/,Easy,"Linked List, Recursion",1871792876,2026-01-02T08:01:51+00:00,python3,0 ms,18.1 MB,206-reverse-linked-list.py,,"Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next",,,,,,,,,new,,,,,,0,0
207,Course Schedule,course-schedule,https://leetcode.com/problems/course-schedule/,Medium,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph",2091050263,2026-08-02T07:30:01+00:00,python3,6 ms,21.6 MB,207-course-schedule.py,,"We essentailly just detect if there is a cycle in the prereqs, if there is 
we return False
create an adjacency list",,,,,,,,,new,,,,,,0,0
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,"Hash Table, String, Design, Trie",2076116564,2026-07-21T16:47:19+00:00,python3,38 ms,31.5 MB,208-implement-trie-prefix-tree.py,[ Time taken: 1d 5hrs 12m 23s ],"Your Trie object will be instantiated and called as such:
obj = Trie()
obj.insert(word)
param_2 = obj.search(word)
param_3 = obj.startsWith(prefix)",,,,,,,,,new,,,,,,0,0
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,"String, Depth-First Search, Design, Trie",1902431706,2026-01-30T22:03:26+00:00,python3,937 ms,68.5 MB,211-design-add-and-search-words-data-structure.py,,"Your WordDictionary object will be instantiated and called as such:
obj = WordDictionary()
obj.addWord(word)
param_2 = obj.search(word)",,,,,,,,,new,,,,,,0,0
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,"String, Depth-First Search, Design, Trie",1902431795,2026-01-30T22:03:43+00:00,python3,943 ms,68.4 MB,211-design-add-and-search-words-data-structure.py,,"Your WordDictionary object will be instantiated and called as such:
obj = WordDictionary()
obj.addWord(word)
param_2 = obj.search(word)",,,,,,,,,new,,,,,,0,0
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",2126511257,2026-08-31T18:50:47+00:00,python3,51 ms,31 MB,215-kth-largest-element-in-an-array.py,[ Time taken: 17m 8s ],"we can solve this using a min heap of size k
since we want the kth largest element, we push values that are larger than the current value
and then by the end the kth largest value should just be the value sitting on top of the heap 
initialize the heap of size k
go thorugh the rest of the elements
if the current num is greater than the value at the top of the heap",,,,,,,,,new,2026-08-31T18:54:03+00:00,,,,,0,0
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",2126514213,2026-08-31T18:54:03+00:00,python3,44 ms,31.1 MB,215-kth-largest-element-in-an-array.py,,"we can solve this using a min heap of size k
since we want the kth largest element, we push values that are larger than the current value
and then by the end the kth largest value should just be the value sitting on top of the heap 
initialize the heap of size k
go thorugh the rest of the elements
if the current num is greater than the value at the top of the heap
divergences:
none really, just had to remember the heap syntax
TC:
building heap takes O(k) time
traversing the heap and using the operations heappushpop is O(logk) (traversing the tree)
O(nlogk) and space is just O(k)","we can solve this using a min heap of size k
since we want the kth largest element, we push values that are larger than the current value
and then by the end the kth largest value should just be the value sitting on top of the heap 
initialize the heap of size k
go thorugh the rest of the elements
if the current num is greater than the value at the top of the heap","none really, just had to remember the heap syntax
TC:
building heap takes O(k) time
traversing the heap and using the operations heappushpop is O(logk) (traversing the tree)
O(nlogk) and space is just O(k)",,,,,,,new,2026-08-31T18:54:03+00:00,,,,,0,0
217,Contains Duplicate,contains-duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,"Array, Hash Table, Sorting",2094084419,2026-08-04T14:07:08+00:00,python3,15 ms,32.3 MB,217-contains-duplicate.py,,,,,,,,,,,new,,,,,,0,0
226,Invert Binary Tree,invert-binary-tree,https://leetcode.com/problems/invert-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",1902417081,2026-01-30T21:24:57+00:00,python3,0 ms,19.5 MB,226-invert-binary-tree.py,[ Time taken: -1 d -1 hr -18 m -58 s ],"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
226,Invert Binary Tree,invert-binary-tree,https://leetcode.com/problems/invert-binary-tree/,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",2070917745,2026-07-17T09:17:45+00:00,python3,0 ms,19.4 MB,226-invert-binary-tree.py,[ Time taken: 10hrs 41m 52s ],"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",1874949598,2026-01-05T06:08:02+00:00,python3,4 ms,20.8 MB,230-kth-smallest-element-in-a-bst.py,[ Time taken: 9 hrs 6 m 5 s ],"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",1874950373,2026-01-05T06:08:52+00:00,python3,8 ms,20.6 MB,230-kth-smallest-element-in-a-bst.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",1874950792,2026-01-05T06:09:17+00:00,python3,0 ms,20.5 MB,230-kth-smallest-element-in-a-bst.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right",,,,,,,,,new,,,,,,0,0
232,Implement Queue using Stacks,implement-queue-using-stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,"Stack, Design, Queue",2128503287,2026-09-02T13:57:04+00:00,python3,0 ms,19.4 MB,232-implement-queue-using-stacks.py,[ Time taken: 2hrs 8m 11s ],"Your MyQueue object will be instantiated and called as such:
obj = MyQueue()
obj.push(x)
param_2 = obj.pop()
param_3 = obj.peek()
param_4 = obj.empty()",,,,,,,,,new,2026-09-02T14:02:38+00:00,,,,,0,0
232,Implement Queue using Stacks,implement-queue-using-stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,"Stack, Design, Queue",2128509852,2026-09-02T14:02:38+00:00,python3,0 ms,19.5 MB,232-implement-queue-using-stacks.py,,"divergences:
none
stacks are LIFO and queues are FIFO so appending all items in one stack to another reverses this and gives us the proper behavior we want for a queue 
Your MyQueue object will be instantiated and called as such:
obj = MyQueue()
obj.push(x)
param_2 = obj.pop()
param_3 = obj.peek()
param_4 = obj.empty()",,"none
stacks are LIFO and queues are FIFO so appending all items in one stack to another reverses this and gives us the proper behavior we want for a queue 
Your MyQueue object will be instantiated and called as such:
obj = MyQueue()
obj.push(x)
param_2 = obj.pop()
param_3 = obj.peek()
param_4 = obj.empty()",,,,,,,new,2026-09-02T14:02:38+00:00,,,,,0,0
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree, Binary Lifting, Lowest Common Ancestor",2073458050,2026-07-19T12:39:06+00:00,python3,60 ms,22.9 MB,235-lowest-common-ancestor-of-a-binary-search-tree.py,[ Time taken: 18hrs 26m 10s ],"Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None
we would use postorder traversal DFS here because we need to know the LCA of both children, (p,q), we can solve this by doing this traversal
this is a BST, so smaller values will be on the left of the root and larger values will be on the right of the root 
base case is if we find p or q or if we hit the end 
if both recursions return a value, the root is the lca
o.w return the non-null result",,,,,,,,,new,,,,,,0,0
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree, Binary Lifting, Lowest Common Ancestor",2073472540,2026-07-19T12:55:19+00:00,python3,56 ms,21.8 MB,235-lowest-common-ancestor-of-a-binary-search-tree.py,,"If the subtree is empty, neither target exists here.
If we find p or q, return it upward as a signal.
Search both subtrees before processing the current node.
One target/result came from each side.
Therefore, the current node is their meeting point.
Pass whichever non-null result was found upward.
If both are None, this also returns None.",,,,,,,,,new,,,,,,0,0
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor",1902500403,2026-01-31T01:41:41+00:00,python3,48 ms,24.5 MB,236-lowest-common-ancestor-of-a-binary-tree.py,,"Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None",,,,,,,,,new,,,,,,0,0
238,Product of Array Except Self,product-of-array-except-self,https://leetcode.com/problems/product-of-array-except-self/,Medium,"Array, Prefix Sum",1812739427,2025-10-27T02:53:26+00:00,python3,34 ms,27 MB,238-product-of-array-except-self.py,,,,,,,,,,,new,,,,,,0,0
242,Valid Anagram,valid-anagram,https://leetcode.com/problems/valid-anagram/,Easy,"Hash Table, String, Sorting",1874956747,2026-01-05T06:15:42+00:00,python3,14 ms,17.7 MB,242-valid-anagram.py,,,,,,,,,,,new,,,,,,0,0
268,Missing Number,missing-number,https://leetcode.com/problems/missing-number/,Easy,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",1870083547,2025-12-31T08:00:29+00:00,python3,3 ms,18.7 MB,268-missing-number.py,,,,,,,,,,,new,,,,,,0,0
274,H-Index,h-index,https://leetcode.com/problems/h-index/,Medium,"Array, Sorting, Counting Sort",1812735700,2025-10-27T02:46:03+00:00,python3,0 ms,18.3 MB,274-h-index.py,,,,,,,,,,,new,,,,,,0,0
278,First Bad Version,first-bad-version,https://leetcode.com/problems/first-bad-version/,Easy,"Binary Search, Interactive",2078595406,2026-07-23T15:48:16+00:00,python3,46 ms,19.1 MB,278-first-bad-version.py,,"The isBadVersion API is already defined for you.
def isBadVersion(version: int) -> bool:",,,,,,,,,new,,,,,,0,0
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",1876020551,2026-01-06T05:01:15+00:00,python3,85 ms,22.9 MB,297-serialize-and-deserialize-binary-tree.py,,"Definition for a binary tree node.
class TreeNode(object):
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None
Encodes a tree to a single string.
        
        :type root: TreeNode
        :rtype: str
        
Decodes your encoded data to tree.
        
        :type data: str
        :rtype: TreeNode
        
Your Codec object will be instantiated and called as such:
ser = Codec()
deser = Codec()
ans = deser.deserialize(ser.serialize(root))",,,,,,,,,new,,,,,,0,0
310,Minimum Height Trees,minimum-height-trees,https://leetcode.com/problems/minimum-height-trees/,Medium,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",2102845349,2026-08-11T13:03:03+00:00,python3,50 ms,27.8 MB,310-minimum-height-trees.py,[ Time taken: 2d 0hrs 5m 43s ],"I think we can use BFS here, and then keep track of the the levels for each node 
we can build an adjacency list to keep track of which nodes are connected to which node
for the base cases with n = 0, 1, 2 0 will just return an empty output, 1 will return the singualr node ase the root, and then 2 will return both values since either or will be the same length
to efficiently find the minimum height, can't we pick the nodes with the most edges connected first? I think just doing a regular bfs and keeping track of the min level for ALL nodes is too inefficient
The leaves of the tree can never be the min height because they are the very ends, so we can ignore those 
create a list of degrees to keep track and find the leaves 
append both because it is undirected 
increment the degrees
a leaf has exactly one connection, so we add to queue if the node has exactly one degree
remove this entire outer layer
once we pop the leaf, we decrement the degree of the neighbor of the popped leaf
if this neighbor has one degree, it is the new leaf so we append it to the queue
O(n)",,,,,,,,,new,,,,,,0,0
310,Minimum Height Trees,minimum-height-trees,https://leetcode.com/problems/minimum-height-trees/,Medium,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort",2102853852,2026-08-11T13:10:03+00:00,python3,43 ms,27.7 MB,310-minimum-height-trees.py,,"I think we can use BFS here, and then keep track of the the levels for each node 
we can build an adjacency list to keep track of which nodes are connected to which node
for the base cases with n = 0, 1, 2 0 will just return an empty output, 1 will return the singualr node ase the root, and then 2 will return both values since either or will be the same length
to efficiently find the minimum height, can't we pick the nodes with the most edges connected first? I think just doing a regular bfs and keeping track of the min level for ALL nodes is too inefficient
The leaves of the tree can never be the min height because they are the very ends, so we can ignore those 
O(1) 
O(n) create a list of degrees to keep track and find the leaves 
append both because it is undirected 
O(n)
increment the degrees
a leaf has exactly one connection, so we add to queue if the node has exactly one degree 
O(n), we scan every node once
O(1)
O(1)
remove this entire outer layer
O(1)
O(n)
O(1)
every edge is only seen a constant number of times so this is O(n) not O(n^2)
once we pop the leaf, we decrement the degree of the neighbor of the popped leaf
O(1)
if this neighbor has one degree, it is the new leaf so we append it to the queue
O(1)
O(1) if n <= 2",,,,,,,,,new,,,,,,0,0
322,Coin Change,coin-change,https://leetcode.com/problems/coin-change/,Medium,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack",2099210563,2026-08-08T14:34:14+00:00,python3,988 ms,68.3 MB,322-coin-change.py,,"this is a classic DP problem
we can just use top-down DP and cache our existing choices that we've made
the state is the remaining amount we need to get to the target",,,,,,,,,new,,,,,,0,0
347,Top K Frequent Elements,top-k-frequent-elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",2127414583,2026-09-01T15:52:05+00:00,python3,2 ms,22.8 MB,347-top-k-frequent-elements.py,,"keep track of the frequencies in nums and push it onto the heap
if size of heap is > k pop the least frequent number
push these values onto the heap
divergences: 
none
TC: O(nlogk)
SC: O(n)","keep track of the frequencies in nums and push it onto the heap
if size of heap is > k pop the least frequent number
push these values onto the heap","none
TC: O(nlogk)
SC: O(n)",,,,,O(nlogk),O(n),new,2026-09-01T15:52:05+00:00,,,,,0,0
383,Ransom Note,ransom-note,https://leetcode.com/problems/ransom-note/,Easy,"Hash Table, String, Counting",1873655784,2026-01-04T00:35:07+00:00,python3,25 ms,17.7 MB,383-ransom-note.py,,,,,,,,,,,new,,,,,,0,0
409,Longest Palindrome,longest-palindrome,https://leetcode.com/problems/longest-palindrome/,Easy,"Hash Table, String, Greedy",1876003480,2026-01-06T04:43:17+00:00,python3,3 ms,17.3 MB,409-longest-palindrome.py,,,,,,,,,,,new,,,,,,0,0
416,Partition Equal Subset Sum,partition-equal-subset-sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack",1870593866,2025-12-31T23:01:12+00:00,python3,319 ms,78.2 MB,416-partition-equal-subset-sum.py,,,,,,,,,,,new,,,,,,0,0
416,Partition Equal Subset Sum,partition-equal-subset-sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack",1870594352,2025-12-31T23:03:00+00:00,python3,323 ms,77.8 MB,416-partition-equal-subset-sum.py,,,,,,,,,,,new,,,,,,0,0
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,"Hash Table, String, Sliding Window",2084436132,2026-07-28T08:09:36+00:00,python3,71 ms,19.5 MB,424-longest-repeating-character-replacement.py,,,,,,,,,,,new,,,,,,0,0
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,"Hash Table, String, Sliding Window",2094035281,2026-08-04T13:32:07+00:00,python3,46 ms,19.8 MB,438-find-all-anagrams-in-a-string.py,,"Intial thoughts, create a frequency/anagram map of p so we know how many characters there are 
Then we have a sliding window to go through s, and the window size is len(p)
we scan and if the frequency map is not 0, then it is not an anagram and we proceed to the next window",,,,,,,,,new,,,,,,0,0
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,"Hash Table, String, Sliding Window",2094037509,2026-08-04T13:33:45+00:00,python3,39 ms,19.8 MB,438-find-all-anagrams-in-a-string.py,,"Intial thoughts, create a frequency/anagram map of p so we know how many characters there are 
Then we have a sliding window to go through s, and the window size is len(p)
we scan and if the frequency map is not 0, then it is not an anagram and we proceed to the next window
add the right character to the window frequency of characters
if the window is larger, shrink and remove the character from the window
increment
if the window is equal to the anagram length we check if the window includes the anagram, if it does we append the leftmost value (e.g. left) of this window",,,,,,,,,new,,,,,,0,0
460,LFU Cache,lfu-cache,https://leetcode.com/problems/lfu-cache/,Hard,"Hash Table, Linked List, Design, Doubly-Linked List",2081031266,2026-07-25T17:13:53+00:00,python3,139 ms,78.7 MB,460-lfu-cache.py,[ Time taken: 1d 8hrs 15m 18s ],"map key -> node
freq -> linked list of nodes 
Your LFUCache object will be instantiated and called as such:
obj = LFUCache(capacity)
param_1 = obj.get(key)
obj.put(key,value)",,,,,,,,,new,,,,,,0,0
486,Predict the Winner,predict-the-winner,https://leetcode.com/problems/predict-the-winner/,Medium,"Array, Math, Dynamic Programming, Recursion, Minimax, Game Theory, Zero-Sum Game",2093940219,2026-08-04T12:08:13+00:00,python3,1 ms,19.8 MB,486-predict-the-winner.py,,"Choice 1: take the leftmost number
Choice 2: take the rightmost number
maximize current player's score 
this means that the current player (e.g. player 1) has the higher score b/c the score diff is positive",,,,,,,,,new,,,,,,0,0
